Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,HeadCoach,OffensiveCoordinator,DefensiveCoordinator,SpecialTeamsCoach,OffensiveScheme,DefensiveScheme,UpcomingSalary,UpcomingOpponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID,FantasyDraftName,FantasyDraftPlayerID,YahooName,YahooPlayerID,AverageDraftPosition2QB,AverageDraftPositionDynasty,StadiumDetails
DET,11,11,Detroit,Lions,NFC,North,Detroit Lions,21,8,,,Dan Campbell,Drew Petzing,Kelvin Sheppard,Dave Fipp,3WR,4-3,,Scrambled,3,3,,,,0076B6,B0B7BC,FFFFFF,000000,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/26/Detroit_Lions_wordmark.svg,11,Lions ,334,Detroit Lions,12532,Detroit Lions,334,Detroit Lions,100008,250.0,,"{'StadiumID': 21, 'Name': 'Ford Field', 'City': 'Detroit', 'State': 'MI', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Artificial', 'GeoLat': 42.340021, 'GeoLong': -83.045556, 'Type': 'Dome'}"
GB,12,12,Green Bay,Packers,NFC,North,Green Bay Packers,22,5,,,Matt LaFleur,Adam Stenavich,Jonathan Gannon,,3WR,4-3,,Scrambled,6,6,,,,203731,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Green_Bay_Packers_wordmark.svg,12,Packers ,335,Green Bay Packers,12533,Green Bay Packers,335,Green Bay Packers,100009,247.7,269.9,"{'StadiumID': 22, 'Name': 'Lambeau Field', 'City': 'Green Bay', 'State': 'WI', 'Country': 'USA', 'Capacity': 81441, 'PlayingSurface': 'Grass', 'GeoLat': 44.501389, 'GeoLong': -88.062222, 'Type': 'Outdoor'}"
HOU,13,13,Houston,Texans,AFC,South,Houston Texans,11,6,,,DeMeco Ryans,Nick Caley,Matt Burke,Frank Ross,3WR,4-3,,Scrambled,19,19,,,,021018,EB0028,FFFFFF,0080C6,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Houston_Texans_wordmark.svg,13,Texans ,325,Houston Texans,12556,Houston Texans,325,Houston Texans,100034,237.7,261.2,"{'StadiumID': 11, 'Name': 'NRG Stadium', 'City': 'Houston', 'State': 'TX', 'Country': 'USA', 'Capacity': 72220, 'PlayingSurface': 'Artificial', 'GeoLat': 29.684722, 'GeoLong': -95.410833, 'Type': 'RetractableDome'}"
IND,14,14,Indianapolis,Colts,AFC,South,Indianapolis Colts,9,11,,,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Brian Mason,3WR,4-3,,Scrambled,19,19,,,,013369,FFFFFF,A5ACAF,1D252C,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/Indianapolis_Colts_new_wordmark.svg,14,Colts ,338,Indianapolis Colts,12535,Indianapolis Colts,338,Indianapolis Colts,100011,272.8,242.8,"{'StadiumID': 9, 'Name': 'Lucas Oil Stadium', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 39.760056, 'GeoLong': -86.163806, 'Type': 'RetractableDome'}"
JAX,15,52,Jacksonville,Jaguars,AFC,South,Jacksonville Jaguars,10,8,,,Liam Coen,Grant Udinski,Anthony Campanile,Heath Farwell,3WR,4-3,,Scrambled,14,14,,,,006778,000000,9F792C,,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Jacksonville_Jaguars_wordmark.svg,15,Jaguars ,365,Jacksonville Jaguars,12554,Jacksonville Jaguars,365,Jacksonville Jaguars,100030,228.6,290.0,"{'StadiumID': 10, 'Name': 'EverBank Stadium', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67814, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
KC,16,55,Kansas City,Chiefs,AFC,West,Kansas City Chiefs,15,10,,,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Dave Toub,3WR,4-3,,Scrambled,54,54,,,,E31837,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_Chiefs_wordmark.svg,16,Chiefs ,339,Kansas City Chiefs,12536,Kansas City Chiefs,339,Kansas City Chiefs,100012,273.8,141.6,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
LAC,29,84,Los Angeles,Chargers,AFC,West,Los Angeles Chargers,54,12,,,Jim Harbaugh,Mike McDaniel,Chris O'Leary,Ryan Ficken,3WR,3-4,,Scrambled,19,19,,,,0080C6,FFC20E,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Los_Angeles_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Los_Angeles_Chargers_2020_wordmark.svg,29,Chargers ,357,Los Angeles Chargers,12548,Los Angeles Chargers,357,Los Angeles Chargers,100024,262.5,279.9,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
LAR,32,32,Los Angeles,Rams,NFC,West,Los Angeles Rams,54,8,,,Sean McVay,Nate Scheelhaase,Chris Shula,Bubba Ventrone,3WR,3-4,,Scrambled,24,24,,,,003594,FFD100,,,https://upload.wikimedia.org/wikipedia/en/8/8a/Los_Angeles_Rams_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/LA_Rams_wordmark.svg,32,Rams ,343,Los Angeles Rams,12538,Los Angeles Rams,343,Los Angeles Rams,100014,252.4,295.0,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
LV,25,83,Las Vegas,Raiders,AFC,West,Las Vegas Raiders,53,8,,,Klint Kubiak,Andrew Janocko,Rob Leonard,,3WR,4-3,,Scrambled,22,22,,,,C8C7C7,000000,,,https://upload.wikimedia.org/wikipedia/en/4/48/Las_Vegas_Raiders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Las_Vegas_Raiders_wordmark.svg,25,Raiders ,341,Las Vegas Raiders,12537,Las Vegas Raiders,341,Las Vegas Raiders,100013,255.4,292.2,"{'StadiumID': 53, 'Name': 'Allegiant Stadium', 'City': 'Las Vegas', 'State': 'NV', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Grass', 'GeoLat': 36.090833, 'GeoLong': -115.183611, 'Type': 'Dome'}"
MIA,19,64,Miami,Dolphins,AFC,East,Miami Dolphins,2,12,,,Jeff Hafley,Bobby Slowick,Sean Duggan,Chris Tabor,3WR,3-4,,Scrambled,24,24,,,,008E97,FC4C02,FFFFFF,005778,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,19,Dolphins ,345,Miami Dolphins,12539,Miami Dolphins,345,Miami Dolphins,100015,233.5,295.9,"{'StadiumID': 2, 'Name': 'Hard Rock Stadium', 'City': 'Miami Gardens', 'State': 'FL', 'Country': 'USA', 'Capacity': 64767, 'PlayingSurface': 'Grass', 'GeoLat': 25.958056, 'GeoLong': -80.238889, 'Type': 'Outdoor'}"
MIN,20,67,Minnesota,Vikings,NFC,North,Minnesota Vikings,42,6,,,Kevin O'Connell,Wes Phillips,Brian Flores,Matt Daniels,3WR,3-4,,Scrambled,9,9,,,,4F2683,FFC62F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Minnesota_Vikings_wordmark.svg,20,Vikings ,347,Minnesota Vikings,12540,Minnesota Vikings,347,Minnesota Vikings,100016,254.4,260.5,"{'StadiumID': 42, 'Name': 'U.S. Bank Stadium', 'City': 'Minneapolis', 'State': 'MN', 'Country': 'USA', 'Capacity': 66655, 'PlayingSurface': 'Artificial', 'GeoLat': 44.974288, 'GeoLong': -93.258, 'Type': 'Dome'}"
NE,21,21,New England,Patriots,AFC,East,New England Patriots,4,14,,,Mike Vrabel,Josh McDaniels,Zak Kuhr,Jeremy Springer,3WR,3-4,,Scrambled,24,24,,,,002244,C60C30,B0B7BC,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/New_England_Patriots_wordmark.svg,21,Patriots ,348,New England Patriots,12541,New England Patriots,348,New England Patriots,100017,278.4,267.2,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 64628, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
NO,22,69,New Orleans,Saints,NFC,South,New Orleans Saints,27,11,,,Kellen Moore,Doug Nussmeier,Brandon Staley,Phil Galiano,3WR,4-3,,Scrambled,32,32,,,,D3BC8D,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,22,Saints ,350,New Orleans Saints,12542,New Orleans Saints,350,New Orleans Saints,100018,237.6,288.3,"{'StadiumID': 27, 'Name': 'Caesars Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
NYG,23,75,New York,Giants,NFC,East,New York Giants,3,14,,,John Harbaugh,Matt Nagy,Dennard Wilson,Chris Horton,3WR,3-4,,Scrambled,6,6,,,,0B2265,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,23,Giants ,351,New York Giants,12543,New York Giants,351,New York Giants,100019,208.4,267.7,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
NYJ,24,82,New York,Jets,AFC,East,New York Jets,3,9,,,Aaron Glenn,Frank Reich,Brian Duker,Chris Banjo,3WR,4-3,,Scrambled,15,15,,,,115740,FFFFFF,000000,,https://upload.wikimedia.org/wikipedia/commons/6/69/New_York_Jets_2024.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/New_York_Jets_2024_%28wordmark%29.svg,24,Jets ,352,New York Jets,12544,New York Jets,352,New York Jets,100020,253.9,291.7,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
PHI,26,26,Philadelphia,Eagles,NFC,East,Philadelphia Eagles,18,9,,,Nick Sirianni,Sean Mannion,Vic Fangio,Michael Clay,3WR,3-4,,Scrambled,20,20,,,,004851,A2AAAD,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Eagles_New_Wordmark_2022-present.png,26,Eagles ,354,Philadelphia Eagles,12545,Philadelphia Eagles,354,Philadelphia Eagles,100021,222.0,254.1,"{'StadiumID': 18, 'Name': 'Lincoln Financial Field', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'Capacity': 67594, 'PlayingSurface': 'Grass', 'GeoLat': 39.900833, 'GeoLong': -75.167469, 'Type': 'Outdoor'}"
PIT,28,28,Pittsburgh,Steelers,AFC,North,Pittsburgh Steelers,8,5,,,Mike McCarthy,Brian Angelichio,Patrick Graham,Danny Crossman,3WR,3-4,,Scrambled,17,17,,,,000000,FFB612,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,28,Steelers ,356,Pittsburgh Steelers,12547,Pittsburgh Steelers,356,Pittsburgh Steelers,100023,219.7,267.2,"{'StadiumID': 8, 'Name': 'Acrisure Stadium', 'City': 'Pittsburgh', 'State': 'PA', 'Country': 'USA', 'Capacity': 68400, 'PlayingSurface': 'Grass', 'GeoLat': 40.446667, 'GeoLong': -80.015833, 'Type': 'Outdoor'}"
SEA,30,90,Seattle,Seahawks,NFC,West,Seattle Seahawks,31,8,,,Mike Macdonald,Brian Fleury,Aden Durde,Jay Harbaugh,3WR,3-4,,Scrambled,19,19,,,,002244,69BE28,A5ACAF,,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/df/Seattle_Seahawks_wordmark.svg,30,Seahawks ,361,Seattle Seahawks,12550,Seattle Seahawks,361,Seattle Seahawks,100026,268.1,185.3,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 68740, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
SF,31,93,San Francisco,49ers,NFC,West,San Francisco 49ers,37,14,,,Kyle Shanahan,Klay Kubiak,Raheem Morris,Brant Boyer,3WR,4-3,,Scrambled,24,24,,,,AA0000,B3995D,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/San_Francisco_49ers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/67/San_Francisco_49ers_Saloon_Wordmark.svg,31,49ers ,359,San Francisco 49ers,12549,San Francisco 49ers,359,San Francisco 49ers,100025,264.2,228.6,"{'StadiumID': 37, 'Name': ""Levi's Stadium"", 'City': 'Santa Clara', 'State': 'CA', 'Country': 'USA', 'Capacity': 68500, 'PlayingSurface': 'Grass', 'GeoLat': 37.403, 'GeoLong': -121.970274, 'Type': 'Outdoor'}"
TB,33,95,Tampa Bay,Buccaneers,NFC,South,Tampa Bay Buccaneers,24,9,,,Todd Bowles,Zac Robinson,Kacy Rodgers & Larry Foote,Danny Smith,3WR,3-4,,Scrambled,40,40,,,,A71930,322F2B,DC4405,000000,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Tampa_Bay_Buccaneers_wordmark.svg,33,Buccaneers ,362,Tampa Bay Buccaneers,12551,Tampa Bay Buccaneers,362,Tampa Bay Buccaneers,100027,254.9,244.3,"{'StadiumID': 24, 'Name': 'Raymond James Stadium', 'City': 'Tampa Bay', 'State': 'FL', 'Country': 'USA', 'Capacity': 69218, 'PlayingSurface': 'Grass', 'GeoLat': 27.975833, 'GeoLong': -82.503333, 'Type': 'Outdoor'}"
TEN,34,34,Tennessee,Titans,AFC,South,Tennessee Titans,12,10,,,Robert Saleh,Brian Daboll,Gus Bradley,John Fassel,3WR,3-4,,Scrambled,24,24,,,,4B92DB,002244,C60C30,A5ACAF,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/75/Tennessee_Titans_wordmark%2C_2018.svg,34,Titans ,336,Tennessee Titans,12534,Tennessee Titans,336,Tennessee Titans,100010,288.6,278.7,"{'StadiumID': 12, 'Name': 'Nissan Stadium', 'City': 'Nashville', 'State': 'TN', 'Country': 'USA', 'Capacity': 69143, 'PlayingSurface': 'Grass', 'GeoLat': 36.166389, 'GeoLong': -86.771389, 'Type': 'Outdoor'}"
WAS,35,97,Washington,Commanders,NFC,East,Washington Commanders,19,12,,,Dan Quinn,David Blough,Daronte Jones,Nate Kaczor,3WR,4-3,,Scrambled,13,13,,,,5A1414,FFB612,FFFFFF,000000,https://upload.wikimedia.org/wikipedia/commons/0/0c/Washington_Commanders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Washington_Commanders_wordmark.svg,35,Commanders ,363,Washington Commanders,12552,Washington Redskins,363,Washington Commanders,100028,262.7,296.7,"{'StadiumID': 19, 'Name': 'Northwest Stadium', 'City': 'Landover', 'State': 'MD', 'Country': 'USA', 'Capacity': 62000, 'PlayingSurface': 'Grass', 'GeoLat': 38.907778, 'GeoLong': -76.864444, 'Type': 'Outdoor'}"
