PlayerID,Name,Team,pass_yds,rush_yds,recv_yds,tds,fumbles,total_yards,efficiency
549,Matt Prater,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,Joe Flacco,CIN,1590.8,16.9,0.0,0.4,0.3,1607.7,0.0002486479766270902
611,Joe Flacco,CLE,739.3,5.0,0.0,0.0,2.8000000000000003,744.3,0.0
2593,Aaron Rodgers,PIT,3191.5,70.3,-6.0,0.4,1.6,3255.8,0.00012281994595922377
3061,Marcedes Lewis,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3341,Calais Campbell,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6489,Josh Johnson,WAS,404.30000000000007,49.8,0.0,0.6,0.6,454.1000000000001,0.001318391562294001
8244,Philip Rivers,IND,543.1,-1.4,0.0,0.0,0.0,541.7,0.0
9038,Matthew Stafford,LAR,4559.7,13.6,0.0,0.0,4.9,4573.3,0.0
9162,JJ Jansen,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9201,Thomas Morstead,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10333,Graham Gano,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11008,Morgan Cox,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11120,Jon Weeks,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11315,Brandon Graham,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11694,Nick Folk,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12247,Jason Pierre-Paul,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12308,Trent Williams,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12787,Nick Bellore,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12831,Tyrod Taylor,NYJ,660.2,109.6,0.0,1.6,0.4,769.8000000000001,0.0020757654385054488
12841,Andy Dalton,CAR,334.0,-3.3000000000000003,0.0,0.0,0.8,330.7,0.0
12902,Cameron Heyward,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13022,Von Miller,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13338,Cameron Jordan,NO,0.0,0.0,0.0,0.0,0.3,0.0,0.0
13388,Jake McQuaide,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13810,Demario Davis,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13882,Kevin Zeitler,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13913,Kelvin Beachum,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14017,Bryan Anger,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14042,Aaron Brewer,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14252,Kirk Cousins,ATL,1662.1,5.5,0.0,0.4,0.4,1667.6,0.00023972192256981905
14375,Lavonte David,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14409,Johnny Hekker,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14461,Harrison Smith,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14534,Bobby Wagner,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14536,Russell Wilson,NYG,490.09999999999997,70.4,0.0,0.0,0.0,560.5,0.0
14567,Josh Harris,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
