Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,HeadCoach,OffensiveCoordinator,DefensiveCoordinator,SpecialTeamsCoach,OffensiveScheme,DefensiveScheme,UpcomingSalary,UpcomingOpponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID,FantasyDraftName,FantasyDraftPlayerID,YahooName,YahooPlayerID,AverageDraftPosition2QB,AverageDraftPositionDynasty,StadiumDetails
DET,11,11,Detroit,Lions,NFC,North,Detroit Lions,21,8,354.1,311.9,Dan Campbell,John Morton,Kelvin Sheppard,Dave Fipp,3WR,4-3,5732,Scrambled,32,32,6913.0,5732.0,25.0,0076B6,B0B7BC,FFFFFF,000000,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/26/Detroit_Lions_wordmark.svg,11,Lions ,334,Detroit Lions,12532,Detroit Lions,334,Detroit Lions,100008,250.0,,"{'StadiumID': 21, 'Name': 'Ford Field', 'City': 'Detroit', 'State': 'MI', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Artificial', 'GeoLat': 42.340021, 'GeoLong': -83.045556, 'Type': 'Dome'}"
GB,12,12,Green Bay,Packers,NFC,North,Green Bay Packers,22,5,367.5,273.1,Matt LaFleur,Adam Stenavich,Jeff Hafley,Rich Bisaccia,3WR,4-3,5058,Scrambled,15,15,6575.0,5058.0,19.0,203731,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Green_Bay_Packers_wordmark.svg,12,Packers ,335,Green Bay Packers,12533,Green Bay Packers,335,Green Bay Packers,100009,247.7,269.9,"{'StadiumID': 22, 'Name': 'Lambeau Field', 'City': 'Green Bay', 'State': 'WI', 'Country': 'USA', 'Capacity': 81441, 'PlayingSurface': 'Grass', 'GeoLat': 44.501389, 'GeoLong': -88.062222, 'Type': 'Outdoor'}"
HOU,13,13,Houston,Texans,AFC,South,Houston Texans,11,6,300.1,254.6,DeMeco Ryans,Nick Caley,Matt Burke,Frank Ross,3WR,4-3,5227,Scrambled,24,24,8261.0,5227.0,30.0,021018,EB0028,FFFFFF,0080C6,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Houston_Texans_wordmark.svg,13,Texans ,325,Houston Texans,12556,Houston Texans,325,Houston Texans,100034,237.7,261.2,"{'StadiumID': 11, 'Name': 'NRG Stadium', 'City': 'Houston', 'State': 'TX', 'Country': 'USA', 'Capacity': 72220, 'PlayingSurface': 'Artificial', 'GeoLat': 29.684722, 'GeoLong': -95.410833, 'Type': 'RetractableDome'}"
IND,14,14,Indianapolis,Colts,AFC,South,Indianapolis Colts,9,11,554.7,455.2,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Brian Mason,3WR,4-3,5732,Scrambled,29,29,7081.0,5732.0,24.0,013369,FFFFFF,A5ACAF,1D252C,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/Indianapolis_Colts_new_wordmark.svg,14,Colts ,338,Indianapolis Colts,12535,Indianapolis Colts,338,Indianapolis Colts,100011,272.8,242.8,"{'StadiumID': 9, 'Name': 'Lucas Oil Stadium', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 39.760056, 'GeoLong': -86.163806, 'Type': 'RetractableDome'}"
JAX,15,52,Jacksonville,Jaguars,AFC,South,Jacksonville Jaguars,10,8,595.2,521.0,Liam Coen,Grant Udinski,Anthony Campanile,Heath Farwell,3WR,4-3,4384,Scrambled,24,24,7081.0,4384.0,19.0,006778,000000,9F792C,,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Jacksonville_Jaguars_wordmark.svg,15,Jaguars ,365,Jacksonville Jaguars,12554,Jacksonville Jaguars,365,Jacksonville Jaguars,100030,228.6,290.0,"{'StadiumID': 10, 'Name': 'EverBank Stadium', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67814, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
KC,16,55,Kansas City,Chiefs,AFC,West,Kansas City Chiefs,15,10,349.0,305.2,Andy Reid,Matt Nagy,Steve Spagnuolo,Dave Toub,3WR,4-3,4552,Scrambled,12,12,,,,E31837,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_Chiefs_wordmark.svg,16,Chiefs ,339,Kansas City Chiefs,12536,Kansas City Chiefs,339,Kansas City Chiefs,100012,273.8,141.6,"{'StadiumID': 15, 'Name': 'Arrowhead Stadium', 'City': 'Kansas City', 'State': 'MO', 'Country': 'USA', 'Capacity': 76416, 'PlayingSurface': 'Grass', 'GeoLat': 39.048889, 'GeoLong': -94.483889, 'Type': 'Outdoor'}"
LAC,29,84,Los Angeles,Chargers,AFC,West,Los Angeles Chargers,54,12,433.3,376.0,Jim Harbaugh,Greg Roman,Jesse Minter,Ryan Ficken,3WR,3-4,5564,Scrambled,22,22,7587.0,5564.0,20.0,0080C6,FFC20E,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Los_Angeles_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Los_Angeles_Chargers_2020_wordmark.svg,29,Chargers ,357,Los Angeles Chargers,12548,Los Angeles Chargers,357,Los Angeles Chargers,100024,262.5,279.9,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
LAR,32,32,Los Angeles,Rams,NFC,West,Los Angeles Rams,54,8,413.1,355.7,Sean McVay,Mike LaFleur,Chris Shula,Chase Blackburn,3WR,3-4,5395,Scrambled,30,30,7587.0,5395.0,29.0,003594,FFD100,,,https://upload.wikimedia.org/wikipedia/en/8/8a/Los_Angeles_Rams_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/LA_Rams_wordmark.svg,32,Rams ,343,Los Angeles Rams,12538,Los Angeles Rams,343,Los Angeles Rams,100014,252.4,295.0,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
LV,25,83,Las Vegas,Raiders,AFC,West,Las Vegas Raiders,53,8,566.5,456.9,Pete Carroll,Chip Kelly,Patrick Graham,Tom McMahon,3WR,4-3,3709,Scrambled,12,12,5564.0,3709.0,17.0,C8C7C7,000000,,,https://upload.wikimedia.org/wikipedia/en/4/48/Las_Vegas_Raiders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Las_Vegas_Raiders_wordmark.svg,25,Raiders ,341,Las Vegas Raiders,12537,Las Vegas Raiders,341,Las Vegas Raiders,100013,255.4,292.2,"{'StadiumID': 53, 'Name': 'Allegiant Stadium', 'City': 'Las Vegas', 'State': 'NV', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Grass', 'GeoLat': 36.090833, 'GeoLong': -115.183611, 'Type': 'Dome'}"
MIA,19,64,Miami,Dolphins,AFC,East,Miami Dolphins,2,12,494.0,446.8,Mike McDaniel,Frank Smith,Anthony Weaver,Craig Aukerman,3WR,3-4,3372,Scrambled,6,6,5058.0,3372.0,17.0,008E97,FC4C02,FFFFFF,005778,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,19,Dolphins ,345,Miami Dolphins,12539,Miami Dolphins,345,Miami Dolphins,100015,233.5,295.9,"{'StadiumID': 2, 'Name': 'Hard Rock Stadium', 'City': 'Miami Gardens', 'State': 'FL', 'Country': 'USA', 'Capacity': 64767, 'PlayingSurface': 'Grass', 'GeoLat': 25.958056, 'GeoLong': -80.238889, 'Type': 'Outdoor'}"
