GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,Canceled,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Day,DateTime,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,ScoreID,Status,IsClosed,DateTimeUTC,StadiumDetails
202411515,1,2024,15,2024-12-15T13:00:00,NYJ,JAX,FOX,0.5,41.5,10.0,False,,,59.0,60.0,Overcast Clouds,59.0,5,-68.0,58.0,2024-12-15T00:00:00,2024-12-15T13:00:00,18888,24,15,18888,Final,,2024-12-15T18:00:00,"{'StadiumID': 10, 'Name': 'EverBank Stadium', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67814, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
202411522,1,2024,15,2024-12-15T13:00:00,WAS,NO,FOX,1.1,44.5,27.0,False,,,65.0,65.0,Overcast Clouds,65.0,6,-142.0,114.0,2024-12-15T00:00:00,2024-12-15T13:00:00,18889,35,22,18889,Final,,2024-12-15T18:00:00,"{'StadiumID': 27, 'Name': 'Caesars Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
202411523,1,2024,15,2024-12-15T13:00:00,BAL,NYG,CBS,2.4,43.5,3.0,False,,,37.0,40.0,Light Rain,33.0,5,-632.0,359.0,2024-12-15T00:00:00,2024-12-15T13:00:00,18890,3,23,18890,Final,,2024-12-15T18:00:00,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202411534,1,2024,15,2024-12-15T13:00:00,CIN,TEN,FOX,0.9,46.0,12.0,False,,,53.0,54.0,Light Rain,54.0,8,-97.0,82.0,2024-12-15T00:00:00,2024-12-15T13:00:00,18891,7,34,18891,Final,,2024-12-15T18:00:00,"{'StadiumID': 12, 'Name': 'Nissan Stadium', 'City': 'Nashville', 'State': 'TN', 'Country': 'USA', 'Capacity': 69143, 'PlayingSurface': 'Grass', 'GeoLat': 36.166389, 'GeoLong': -86.771389, 'Type': 'Outdoor'}"
202411501,1,2024,15,2024-12-15T16:25:00,NE,ARI,CBS,-2.3,46.5,29.0,False,,,54.0,60.0,Clear Sky,54.0,1,86.0,-104.0,2024-12-15T00:00:00,2024-12-15T16:25:00,18880,21,1,18880,Final,,2024-12-15T21:25:00,"{'StadiumID': 29, 'Name': 'State Farm Stadium', 'City': 'Glendale', 'State': 'AZ', 'Country': 'USA', 'Capacity': 63400, 'PlayingSurface': 'Grass', 'GeoLat': 33.528, 'GeoLong': -112.263036, 'Type': 'RetractableDome'}"
202411510,1,2024,15,2024-12-15T16:25:00,IND,DEN,CBS,-1.7,43.5,13.0,False,,,39.0,41.0,Few Clouds,38.0,5,70.0,-83.0,2024-12-15T00:00:00,2024-12-15T16:25:00,18881,14,10,18881,Final,,2024-12-15T21:25:00,"{'StadiumID': 13, 'Name': 'Empower Field at Mile High', 'City': 'Denver', 'State': 'CO', 'Country': 'USA', 'Capacity': 76125, 'PlayingSurface': 'Grass', 'GeoLat': 39.743889, 'GeoLong': -105.020097, 'Type': 'Outdoor'}"
202411511,1,2024,15,2024-12-15T16:25:00,BUF,DET,CBS,-1.0,55.5,21.0,False,,,37.0,41.0,Overcast Clouds,38.0,4,45.0,-53.0,2024-12-15T00:00:00,2024-12-15T16:25:00,18882,4,11,18882,Final,,2024-12-15T21:25:00,"{'StadiumID': 21, 'Name': 'Ford Field', 'City': 'Detroit', 'State': 'MI', 'Country': 'USA', 'Capacity': 65000, 'PlayingSurface': 'Artificial', 'GeoLat': 42.340021, 'GeoLong': -83.045556, 'Type': 'Dome'}"
202411529,1,2024,15,2024-12-15T16:25:00,TB,LAC,FOX,-1.1,46.0,54.0,False,,,54.0,58.0,Clear Sky,54.0,3,53.0,-62.0,2024-12-15T00:00:00,2024-12-15T16:25:00,18883,33,29,18883,Final,,2024-12-15T21:25:00,"{'StadiumID': 54, 'Name': 'SoFi Stadium', 'City': 'Inglewood', 'State': 'CA', 'Country': 'USA', 'Capacity': 70240, 'PlayingSurface': 'Artificial', 'GeoLat': 33.95345, 'GeoLong': -118.3392, 'Type': 'Dome'}"
202411526,1,2024,15,2024-12-15T16:25:00,PIT,PHI,FOX,-2.1,43.0,18.0,False,,,37.0,40.0,Light Rain,35.0,3,79.0,-94.0,2024-12-15T00:00:00,2024-12-15T16:25:00,18884,28,26,18884,Final,,2024-12-15T21:25:00,"{'StadiumID': 18, 'Name': 'Lincoln Financial Field', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'Capacity': 67594, 'PlayingSurface': 'Grass', 'GeoLat': 39.900833, 'GeoLong': -75.167469, 'Type': 'Outdoor'}"
202411530,1,2024,15,2024-12-15T20:20:00,GB,SEA,NBC,0.4,48.0,31.0,False,,,40.0,42.0,Overcast Clouds,42.0,2,-61.0,52.0,2024-12-15T00:00:00,2024-12-15T20:20:00,18879,12,30,18879,Final,,2024-12-16T01:20:00,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 68740, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
