PlayerID,Name,Team,Week,pass_yds,rush_yds,recv_yds,tds,fumbles,total_yards,efficiency
21696,Travis Etienne Jr.,JAX,7,0.0,67.6,16.9,0.0,0.0,84.5,0.0
24269,Ventrell Miller,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20570,Darious Williams,LAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21691,Chuba Hubbard,CAR,7,0.0,47.6,36.9,0.0,0.0,84.5,0.0
24202,Ronnie Hickman,CLE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26027,Carson Schwesinger,CLE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26041,Kenneth Grant,MIA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22740,Andre Cisco,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23309,Nakobe Dean,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17085,Alex Singleton,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21899,Malcolm Roach,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21927,Brandon Jones,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22729,Cam Bynum,IND,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15516,Tony Jefferson,LAC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21635,Jalen Thompson,ARI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24101,Colby Wooden,GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14534,Bobby Wagner,WAS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21064,Jamel Dean,TB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21117,E.J. Speed,HOU,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25022,Byron Murphy II,SEA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15048,Travis Kelce,KC,7,0.0,0.0,82.9,0.0,0.0,82.9,0.0
19023,Mack Hollins,NE,7,0.0,9.4,75.3,0.0,0.0,84.7,0.0
19844,DJ Moore,CHI,7,0.0,13.8,66.0,0.0,0.0,79.8,0.0
22526,Breece Hall,NYJ,7,0.0,58.4,21.5,0.0,0.0,79.9,0.0
22496,Mac Jones,SF,7,233.5,16.9,0.0,0.0,0.0,250.4,0.0
